timestamp,open,high,low,close,volume,trade_count,vwap
2022-06-13 22:00:00+00:00,132.4,132.87,132.3,132.5,110303,2264,132.669499
2022-06-13 23:00:00+00:00,132.5,132.52,132.03,132.4,119823,1959,132.250311
2022-06-14 04:00:00+00:00,133.94,133.94,133.94,133.94,145,2,133.94
2022-06-14 05:00:00+00:00,134.47,134.47,134.47,134.47,580,3,134.466276
2022-06-14 08:00:00+00:00,133.01,134.0,133.01,133.1,64459,1660,133.555681
2022-06-14 09:00:00+00:00,133.15,133.3,133.0,133.15,22817,737,133.144575
2022-06-14 10:00:00+00:00,133.0,133.28,132.5,133.13,37295,892,132.808179
2022-06-14 11:00:00+00:00,133.0,133.06,132.35,132.4,271537,4077,132.64149
2022-06-14 12:00:00+00:00,132.39,133.79,131.551,133.2,725786,7580,133.210684
2022-06-14 13:00:00+00:00,133.16,133.77,131.53,133.1001,11898660,113205,132.428768
2022-06-14 14:00:00+00:00,133.11,133.25,131.48,132.5898,14611641,118365,132.378161
2022-06-14 15:00:00+00:00,132.58,132.95,131.82,132.81,9527778,82783,132.359785
2022-06-14 16:00:00+00:00,132.81,132.84,131.91,132.5001,6386551,62837,132.281822
2022-06-14 17:00:00+00:00,132.5,133.89,132.29,132.4802,8790558,75980,132.966489
2022-06-14 18:00:00+00:00,132.49,133.14,132.285,132.4,7494854,69337,132.764822
2022-06-14 19:00:00+00:00,132.395,133.49,131.71,132.86,15199677,127519,132.646352
2022-06-14 20:00:00+00:00,132.76,132.87,132.62,132.84,9243384,2923,132.759568
2022-06-14 21:00:00+00:00,132.81,132.9099,132.69,132.72,189022,1120,132.767745
2022-06-14 22:00:00+00:00,132.74,133.3,132.74,133.07,115718,1398,133.041554
2022-06-14 23:00:00+00:00,133.15,133.9,133.0,133.79,143414,1671,133.312334
2022-06-15 05:00:00+00:00,133.19,133.19,133.19,133.19,103,3,133.19
2022-06-15 06:00:00+00:00,133.05,133.05,132.86,132.86,805,5,132.90913
2022-06-15 08:00:00+00:00,133.46,133.84,133.3,133.55,58223,1029,133.591656
2022-06-15 09:00:00+00:00,133.5,133.65,133.26,133.44,16546,436,133.416432
2022-06-15 10:00:00+00:00,133.5,133.5,133.34,133.34,5799,148,133.380357
2022-06-15 11:00:00+00:00,133.5,134.23,133.3,134.17,342430,4138,133.816101
2022-06-15 12:00:00+00:00,134.11,134.55,132.429,134.33,541919,7701,134.069963
2022-06-15 13:00:00+00:00,134.38,134.74,133.67,134.2,9621349,91468,134.253711
2022-06-15 14:00:00+00:00,134.22,134.6108,133.38,133.82,11025450,91982,134.048226
2022-06-15 15:00:00+00:00,133.81,134.485,133.61,134.42,6737545,62688,134.069333
2022-06-15 16:00:00+00:00,134.425,134.88,133.52,133.615,6572075,57286,134.361718
2022-06-15 17:00:00+00:00,133.62,134.5299,133.49,134.3899,6359852,55765,133.967308
2022-06-15 18:00:00+00:00,134.36,136.49,132.16,134.865,18526663,168423,134.141361
2022-06-15 19:00:00+00:00,134.88,137.34,134.66,135.42,18464106,162320,135.712499
2022-06-15 20:00:00+00:00,135.43,135.57,134.62,135.4,10837185,3636,135.428061
2022-06-15 21:00:00+00:00,135.45,135.9,135.43,135.86,121365,1668,135.667272
2022-06-15 22:00:00+00:00,135.86,136.34,135.75,136.25,125030,1821,136.094069
2022-06-15 23:00:00+00:00,136.21,136.69,136.04,136.5,76245,1499,136.340043
2022-06-16 05:00:00+00:00,134.75,134.75,134.75,134.75,177,2,134.75
2022-06-16 06:00:00+00:00,134.75,134.75,134.75,134.75,5751,6,134.75
2022-06-16 08:00:00+00:00,133.0,133.0,131.51,131.67,182644,3464,132.255182
2022-06-16 09:00:00+00:00,131.53,131.83,131.2,131.73,67967,1724,131.491234
2022-06-16 10:00:00+00:00,131.69,131.91,131.25,131.63,87626,1896,131.553161
2022-06-16 11:00:00+00:00,131.68,132.35,131.63,132.35,630440,6724,131.925934
2022-06-16 12:00:00+00:00,132.2521,133.48,132.23,132.63,990788,10485,132.78628
2022-06-16 13:00:00+00:00,132.63,132.68,130.5,131.21,14024912,136436,131.423475
2022-06-16 14:00:00+00:00,131.21,132.08,129.89,130.1281,15275518,166351,130.740102
2022-06-16 15:00:00+00:00,130.1285,131.16,130.09,130.89,9635185,98221,130.652523
2022-06-16 16:00:00+00:00,130.89,131.186,130.195,131.04,8621224,86241,130.714362
2022-06-16 17:00:00+00:00,131.03,131.75,130.01,130.02,9222178,90983,130.946724
2022-06-16 18:00:00+00:00,130.01,130.205,129.29,129.55,13012012,111577,129.814408
2022-06-16 19:00:00+00:00,129.54,130.3,129.04,130.1,21043386,182721,129.717615
2022-06-16 20:00:00+00:00,130.11,131.195,130.05,130.55,14818846,5767,130.069453
2022-06-16 21:00:00+00:00,130.5,130.53,130.33,130.48,89622,2139,130.410221
2022-06-16 22:00:00+00:00,130.48,130.8,130.4,130.46,108764,1491,130.556075
2022-06-16 23:00:00+00:00,130.45,130.6,130.2,130.53,88012,1540,130.384886
2022-06-17 05:00:00+00:00,131.86,131.86,131.86,131.86,172,1,131.86
2022-06-17 06:00:00+00:00,131.58,131.58,131.58,131.58,100,1,131.58
2022-06-17 07:00:00+00:00,130.99,130.99,130.99,130.99,105,5,130.990095
2022-06-17 08:00:00+00:00,131.0,131.7,130.92,131.37,58431,1284,131.385089
2022-06-17 09:00:00+00:00,131.3,131.59,131.2,131.48,31847,673,131.451982
2022-06-17 10:00:00+00:00,131.4,131.69,131.2,131.42,33370,617,131.471323
2022-06-17 11:00:00+00:00,131.42,131.99,131.23,131.36,377985,4104,131.500627
2022-06-17 12:00:00+00:00,131.3205,131.4399,130.6,130.7,550692,5970,131.094885
2022-06-17 13:00:00+00:00,130.7,132.66,129.76,132.05,26377856,115725,130.719259
2022-06-17 14:00:00+00:00,132.06,132.4199,129.81,130.5968,13407633,124682,131.026833
2022-06-17 15:00:00+00:00,130.6,132.83,130.205,131.3465,12713214,113916,131.772017
2022-06-17 16:00:00+00:00,131.35,132.32,131.08,131.97,8853581,74775,131.823918
2022-06-17 17:00:00+00:00,131.98,133.079,131.65,132.0737,8748855,75031,132.373567
2022-06-17 18:00:00+00:00,132.08,132.54,131.69,131.874,8197586,71221,132.115214
2022-06-17 19:00:00+00:00,131.87,132.22,131.0428,131.42,18543992,147720,131.755678
